CountyFIPS,County,CNTY,VTD,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap
167,GALVESTON,167,0363,1670363,3889,5313,3384,1929,318,396,1070,1440,3793,2479,1314,225,269,715,967
187,GUADALUPE,187,0220,1870220,4104,177,54,123,2,25,96,121,149,52,97,2,24,71,95
201,HARRIS,201,0219,2010219,4436,4025,514,3511,445,2395,686,3035,3388,479,2909,405,1973,532,2472
201,HARRIS,201,0882,2010882,5100,6388,912,5476,1949,1827,1765,3498,4826,738,4088,1519,1305,1293,2533
21,BASTROP,21,4023,214023,168,2517,1450,1067,43,97,879,942,1892,1203,689,31,58,538,585
29,BEXAR,29,4021,294021,832,2037,432,1605,48,287,1309,1529,1545,384,1161,39,194,941,1095
29,BEXAR,29,2087,292087,500,2414,827,1587,100,164,1337,1457,1881,686,1195,70,115,986,1084
39,BRAZORIA,39,0051,390051,1164,4445,2881,1564,292,243,947,1173,3556,2401,1155,225,176,670,838
61,CAMERON,61,0084,610084,1496,3171,509,2662,61,58,2538,2584,2315,447,1868,43,31,1782,1811
251,JOHNSON,251,0007,2510007,6165,3714,2945,769,46,81,522,597,2912,2404,508,27,53,334,384
439,TARRANT,439,2403,4392403,8157,255,52,203,10,106,104,196,189,37,152,6,78,81,147
297,LIVE OAK,297,0008,2970008,6497,127,85,42,2,1,36,36,97,69,28,1,1,24,24
329,MIDLAND,329,0210,3290210,6829,2621,1334,1287,94,237,927,1132,1984,1080,904,62,177,632,788
355,NUECES,355,0046,3550046,7161,770,60,710,3,27,679,698,596,57,539,2,18,518,532
383,REAGAN,383,0004,3830004,7493,836,248,588,11,23,555,571,609,187,422,9,17,396,409
431,STERLING,431,0004,4310004,7825,352,238,114,8,9,97,104,249,169,80,2,3,71,74
439,TARRANT,439,4243,4394243,8489,3787,1717,2070,84,229,1672,1873,2954,1490,1464,71,158,1146,1292
27,BELL,27,0103,270103,191,8657,4159,4498,176,847,3343,4115,6444,3364,3080,117,563,2255,2799
29,BEXAR,29,4044,294044,855,2821,726,2095,85,456,1572,1971,2207,637,1570,71,360,1131,1466
29,BEXAR,29,2110,292110,523,1468,498,970,86,84,789,853,1211,458,753,72,56,606,654
39,BRAZORIA,39,0074,390074,1187,789,274,515,6,11,496,502,563,231,332,5,7,315,321
65,CARSON,65,0102,650102,1519,128,109,19,0,1,9,10,90,79,11,0,1,4,5
85,COLLIN,85,0222,850222,1851,6088,2339,3749,2532,616,499,1099,4297,1758,2539,1665,460,345,802
355,NUECES,355,0023,3550023,7138,3206,1925,1281,46,32,1156,1178,2440,1543,897,32,24,798,817
1,ANDERSON,1,0019,10019,17,3467,2054,1413,41,673,644,1293,2580,1628,952,30,465,402,858
29,BEXAR,29,4202,294202,1013,5,3,2,0,2,2,2,5,3,2,0,2,2,2
51,BURLESON,51,0305,510305,1345,730,559,171,4,56,85,139,609,488,121,3,39,56,93
121,DENTON,121,1010,1211010,2934,5271,4027,1244,64,248,712,940,4004,3167,837,38,152,471,611
121,DENTON,121,2093,1212093,3017,713,233,480,327,71,76,141,586,193,393,272,61,53,110
139,ELLIS,139,1012,1391012,3266,6812,2209,4603,69,816,3635,4412,4924,1773,3151,41,623,2396,3001
439,TARRANT,439,2174,4392174,8095,4546,2141,2405,322,1079,966,1996,3664,1897,1767,271,777,663,1422
439,TARRANT,439,3469,4393469,8344,1450,1193,257,62,74,101,171,1203,1018,185,45,58,71,126
439,TARRANT,439,4707,4394707,8590,3662,1369,2293,223,561,1482,1999,2402,991,1411,145,326,904,1209
451,TOM GREEN,451,0124,4510124,8676,3496,627,2869,28,441,2405,2803,2500,503,1997,16,361,1605,1941
453,TRAVIS,453,0381C,4530381C,8922,144,66,78,43,12,18,29,112,61,51,31,6,10,15
491,WILLIAMSON,491,0205,4910205,9423,358,292,66,16,4,41,44,284,242,42,14,3,19,22
201,HARRIS,201,0877,2010877,5095,5420,1035,4385,757,1641,2018,3585,3649,765,2884,540,1000,1320,2291
209,HAYS,209,0101,2090101,5427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,LEE,287,0404,2870404,6423,1436,598,838,12,209,594,788,1075,504,571,11,158,375,532
361,ORANGE,361,0007,3610007,7262,2566,1810,756,91,356,249,592,1925,1406,519,61,245,166,406
401,RUSK,401,0113,4010113,7594,4942,3324,1618,43,599,802,1374,3695,2625,1070,30,418,467,879
439,TARRANT,439,4051,4394051,8427,23,5,18,1,2,13,15,12,5,7,0,2,2,4
181,GRAYSON,181,0308,1810308,4013,1968,1416,552,14,34,398,423,1467,1112,355,6,19,245,264
187,GUADALUPE,187,0215,1870215,4099,1468,901,567,55,105,373,473,1006,630,376,34,81,242,322
201,HARRIS,201,0045B,2010045B,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,HARRIS,201,0377,2010377,4594,970,703,267,25,43,170,207,736,550,186,15,26,115,138
201,HARRIS,201,0128,2010128,4345,3148,2033,1115,715,79,259,331,2315,1561,754,484,52,182,232
201,HARRIS,201,1123,2011123,5341,2690,781,1909,393,566,963,1489,2017,648,1369,280,396,687,1054
29,BEXAR,29,1076,291076,326,5222,815,4407,158,431,3813,4187,3835,690,3145,127,331,2680,2981
113,DALLAS,113,2146,1132146,2330,4988,1792,3196,360,848,1950,2762,4223,1713,2510,319,613,1525,2116
141,EL PASO,141,0013,1410013,3326,4835,925,3910,274,154,3488,3607,3629,726,2903,199,100,2595,2678
141,EL PASO,141,0099,1410099,3412,3046,236,2810,40,91,2689,2757,2184,202,1982,23,48,1895,1936
157,FORT BEND,157,2052,1572052,3658,4133,130,4003,40,2814,1200,3941,3084,110,2974,30,2184,786,2929
157,FORT BEND,157,1054,1571054,3621,1078,220,858,38,84,735,803,759,181,578,22,57,498,542
457,TYLER,457,0006,4570006,9031,466,444,22,1,3,11,13,400,380,20,1,2,11,12
461,UPTON,461,0006,4610006,9068,550,160,390,5,21,361,377,404,141,263,4,18,240,255
479,WEBB,479,0356,4790356,9277,7857,396,7461,102,63,7325,7365,5427,291,5136,72,39,5027,5056
487,WILBARGER,487,0019,4870019,9363,2981,1484,1497,140,455,873,1306,2341,1306,1035,92,324,590,912
501,YOAKUM,501,0202,5010202,9609,1958,655,1303,25,37,1230,1263,1350,521,829,8,14,788,802
215,HIDALGO,215,0184,2150184,5736,92,30,62,0,1,59,60,66,25,41,0,1,38,39
373,POLK,373,0012,3730012,7408,654,100,554,9,9,41,46,469,80,389,4,2,22,24
423,SMITH,423,0019,4230019,7740,6010,4708,1302,115,476,554,1016,4377,3508,869,79,330,335,663
439,TARRANT,439,1337,4391337,7949,3264,2515,749,77,144,415,546,2605,2089,516,58,101,274,370
439,TARRANT,439,3194,4393194,8281,4272,2296,1976,201,245,1425,1650,3146,1804,1342,166,149,945,1081
453,TRAVIS,453,0136,4530136,8736,2661,1140,1521,76,449,973,1395,2107,995,1112,66,333,682,1002
173,GLASSCOCK,173,0001,1730001,3953,285,197,88,0,3,85,87,221,164,57,0,1,55,56
201,HARRIS,201,0191,2010191,4408,7021,560,6461,11,402,6042,6405,4664,449,4215,9,238,3941,4164
201,HARRIS,201,1063,2011063,5281,5130,385,4745,860,589,3337,3870,3615,334,3281,664,406,2219,2600
201,HARRIS,201,0437,2010437,4654,4267,2413,1854,446,544,833,1332,3194,1847,1347,333,412,578,966
201,HARRIS,201,0731,2010731,4949,7734,1439,6295,406,1553,4371,5777,5680,1184,4496,307,1068,3121,4100
201,HARRIS,201,0523,2010523,4740,7786,2433,5353,353,1089,3875,4872,5737,2054,3683,283,696,2647,3295
27,BELL,27,0303,270303,223,8257,3888,4369,119,1715,2494,4052,6211,3256,2955,84,1124,1643,2720
29,BEXAR,29,2060,292060,472,2746,382,2364,43,181,2160,2306,2191,344,1847,35,136,1683,1799
29,BEXAR,29,3204,293204,810,4,4,0,0,0,0,0,4,4,0,0,0,0,0
35,BOSQUE,35,0006,350006,1059,1690,1458,232,10,32,102,130,1474,1301,173,6,20,74,90
113,DALLAS,113,4068,1134068,2725,3841,418,3423,35,89,3293,3360,2902,380,2522,24,77,2412,2473
113,DALLAS,113,1316,1131316,2138,2551,497,2054,48,1183,811,1970,1952,434,1518,36,879,575,1445
443,TERRELL,443,0002B,4430002B,8636,27,22,5,2,1,1,1,26,22,4,2,0,0,0
477,WASHINGTON,477,0320,4770320,9217,2689,2158,531,33,72,351,418,2171,1794,377,25,58,230,286
309,MCLENNAN,309,0081,3090081,6715,6095,4996,1099,48,100,714,801,4575,3864,711,19,66,446,502
339,MONTGOMERY,339,0065,3390065,6964,8296,5541,2755,77,133,2279,2387,6349,4457,1892,49,102,1523,1612
349,NAVARRO,349,0103,3490103,7053,2831,1785,1046,46,393,563,941,2132,1437,695,36,269,352,617
363,PALO PINTO,363,0014,3630014,7302,279,214,65,5,3,52,55,214,174,40,3,3,32,35
439,TARRANT,439,3624,4393624,8381,568,243,325,281,22,23,40,380,194,186,158,16,13,26
441,TAYLOR,441,0406,4410406,8630,5732,3732,2000,89,869,993,1806,4607,3212,1395,69,597,671,1239
113,DALLAS,113,2507,1132507,2387,3011,2129,882,155,211,459,644,2331,1734,597,112,135,311,432
141,EL PASO,141,0159,1410159,3472,5107,60,5047,35,33,4995,5017,3536,40,3496,21,20,3467,3480
185,GRIMES,185,0005,1850005,4053,4610,2244,2366,27,1024,1303,2305,4165,2093,2072,24,944,1086,2019
201,HARRIS,201,0583,2010583,4800,2298,50,2248,12,1279,987,2240,1701,42,1659,7,1038,625,1654
203,HARRISON,203,0004,2030004,5387,2603,955,1648,22,703,901,1581,1881,785,1096,16,482,578,1051
215,HIDALGO,215,0084,2150084,5636,5133,263,4870,139,34,4694,4716,3505,183,3322,94,21,3201,3213
29,BEXAR,29,1122A,291122A,372,4489,1335,3154,342,619,2278,2815,3172,999,2173,221,420,1556,1944
39,BRAZORIA,39,0046,390046,1159,7502,3869,3633,467,1071,1979,2969,5718,3186,2532,340,733,1327,2031
61,CAMERON,61,0085,610085,1497,4199,803,3396,18,52,3323,3357,3142,694,2448,10,35,2383,2414
85,COLLIN,85,0071,850071,1700,2320,1565,755,298,151,240,384,1941,1346,595,249,117,182,292
113,DALLAS,113,1057,1131057,2038,4145,956,3189,58,237,2860,3061,3144,869,2275,40,182,2005,2167
113,DALLAS,113,4532,1134532,2825,659,125,534,23,29,477,500,491,110,381,18,20,334,351
485,WICHITA,485,0103,4850103,9323,8215,5423,2792,566,745,1278,1961,5986,4197,1789,415,440,748,1168
277,LAMAR,277,1A3B,2771A3B,6366,6444,4527,1917,100,1012,560,1545,5006,3757,1249,74,662,338,989
409,SAN PATRICIO,409,0107,4090107,7651,359,156,203,0,8,193,199,293,135,158,0,6,150,156
417,SHACKELFORD,417,0202,4170202,7694,774,664,110,6,1,82,82,574,501,73,4,0,52,52
439,TARRANT,439,4475,4394475,8530,79,50,29,4,6,21,25,57,42,15,4,1,10,11
439,TARRANT,439,1459,4391459,7989,3571,647,2924,219,1330,1406,2686,2532,554,1978,166,919,908,1800
483,WHEELER,483,0101,4830101,9317,1233,828,405,9,10,378,385,936,693,243,1,5,226,229
141,EL PASO,141,0053,1410053,3366,5225,751,4474,115,500,3947,4327,3995,662,3333,99,346,2906,3201
189,HALE,189,0316,1890316,4159,1909,708,1201,3,41,1125,1165,1455,588,867,1,34,805,838
201,HARRIS,201,0483,2010483,4700,9387,3873,5514,1100,1917,2451,4266,7156,3127,4029,891,1314,1766,3023
209,HAYS,209,0351,2090351,5487,3850,1693,2157,171,551,1459,1959,3313,1578,1735,142,489,1107,1562
243,JEFF DAVIS,243,0005,2430005,6028,241,200,41,4,2,26,27,227,194,33,3,2,19,20
273,KLEBERG,273,0011,2730011,6323,1129,228,901,12,49,857,888,801,174,627,10,29,590,617
29,BEXAR,29,1019,291019,269,2775,224,2551,33,143,2404,2502,1646,189,1457,25,67,1366,1424
29,BEXAR,29,2105,292105,518,1166,50,1116,6,40,1086,1105,852,33,819,5,22,797,811
29,BEXAR,29,3158,293158,764,151,40,111,25,23,61,80,101,30,71,10,12,46,55
53,BURNET,53,0002,530002,1351,5550,3739,1811,96,193,1363,1527,4405,3089,1316,66,160,967,1109
75,CHILDRESS,75,0301,750301,1597,1439,860,579,20,155,398,539,1124,708,416,14,115,282,384
85,COLLIN,85,0217,850217,1846,4121,2510,1611,386,513,630,1124,2827,1755,1072,278,327,411,724
439,TARRANT,439,2158,4392158,8089,3765,1753,2012,275,926,727,1633,3096,1552,1544,210,695,548,1237
439,TARRANT,439,3422,4393422,8338,3754,2360,1394,690,213,384,591,2474,1628,846,429,133,215,348
471,WALKER,471,0401,4710401,9171,8392,3823,4569,209,2239,1941,4134,7238,3436,3802,176,1828,1637,3437
251,JOHNSON,251,0015,2510015,6174,2137,1605,532,9,29,400,415,1709,1345,364,7,18,256,266
321,MATAGORDA,321,0010,3210010,6761,501,378,123,4,13,99,112,401,313,88,3,10,67,77
339,MONTGOMERY,339,0107,3390107,7007,57,36,21,9,2,5,6,48,30,18,9,2,4,5
339,MONTGOMERY,339,0110,3390110,7010,3235,2018,1217,244,259,641,883,2384,1541,843,179,177,418,587
361,ORANGE,361,0001,3610001,7256,739,496,243,5,151,76,226,552,396,156,5,86,54,139
439,TARRANT,439,1004,4391004,7843,4000,1571,2429,173,1174,1050,2199,3122,1406,1716,115,818,739,1545
113,DALLAS,113,4017,1134017,2679,584,359,225,18,79,126,199,531,353,178,16,62,98,155
113,DALLAS,113,2910,1132910,2433,321,87,234,9,4,214,218,228,70,158,7,4,142,146
157,FORT BEND,157,4037,1574037,3761,6371,1395,4976,42,616,4268,4820,4753,1229,3524,25,426,3022,3419
201,HARRIS,201,0629,2010629,4846,1360,77,1283,21,662,615,1257,897,56,841,13,446,388,826
215,HIDALGO,215,0127,2150127,5679,1952,37,1915,8,4,1897,1898,1378,28,1350,5,4,1339,1340
227,HOWARD,227,0405,2270405,5928,639,416,223,7,25,192,206,490,357,133,4,8,117,125
15,AUSTIN,15,0208,150208,123,818,652,166,0,34,109,142,679,562,117,0,27,70,97
29,BEXAR,29,3060,293060,664,2604,1103,1501,106,157,1235,1357,2124,993,1131,76,113,926,1021
29,BEXAR,29,4099,294099,910,2395,560,1835,45,149,1637,1759,1851,499,1352,43,110,1182,1280
41,BRAZOS,41,0014,410014,1205,9374,1040,8334,55,1537,6741,8160,6205,840,5365,48,1009,4269,5234
61,CAMERON,61,0039,610039,1451,2824,132,2692,10,20,2672,2682,1953,95,1858,3,13,1845,1852
85,COLLIN,85,0117,850117,1746,7053,3471,3582,1307,1002,1112,2088,5284,2806,2478,922,657,772,1413
439,TARRANT,439,1296,4391296,7943,4050,2510,1540,226,732,549,1252,3411,2216,1195,192,540,417,944
439,TARRANT,439,4232,4394232,8484,7904,2770,5134,1330,1233,2576,3688,5468,2086,3382,1005,732,1602,2277
455,TRINITY,455,0021,4550021,9025,652,504,148,5,21,94,114,519,439,80,3,7,43,50
271,KINNEY,271,0002,2710002,6320,645,181,464,12,19,440,451,465,146,319,7,7,303,310
303,LUBBOCK,303,0178,3030178,6615,380,295,85,1,17,63,77,277,221,56,1,9,43,50
331,MILAM,331,0210,3310210,6861,764,558,206,6,83,115,192,628,467,161,4,68,83,149
355,NUECES,355,0041,3550041,7156,864,33,831,1,16,804,814,643,24,619,1,12,601,611
373,POLK,373,0006,3730006,7402,5783,4905,878,63,174,374,537,4678,4041,637,41,104,264,361
417,SHACKELFORD,417,0404,4170404,7697,72,60,12,0,2,9,10,53,44,9,0,0,7,7
101,COTTLE,101,0401,1010401,1992,349,220,129,2,20,100,116,290,191,99,2,19,76,91
113,DALLAS,113,3096,1133096,2533,3725,1919,1806,270,865,636,1450,3449,1859,1590,245,750,548,1263
121,DENTON,121,3150,1213150,3074,3680,2579,1101,272,213,487,690,2716,2011,705,176,115,322,432
201,HARRIS,201,0774,2010774,4992,1705,272,1433,99,863,507,1315,1255,251,1004,82,574,361,904
213,HENDERSON,213,003C,213003C,5533,2782,2212,570,34,301,185,469,2263,1810,453,27,248,129,367
245,JEFFERSON,245,0046,2450046,6074,2917,324,2593,147,629,1823,2429,2139,293,1846,112,461,1266,1718
5,ANGELINA,5,0033,50033,60,1831,1643,188,8,36,82,116,1391,1269,122,8,24,40,64
27,BELL,27,0306,270306,226,7788,2752,5036,111,2006,2858,4746,6036,2417,3619,92,1426,1993,3377
29,BEXAR,29,3120,293120,724,5039,2160,2879,221,310,2326,2569,3906,1810,2096,162,192,1676,1838
29,BEXAR,29,2145,292145,558,503,135,368,41,31,301,323,389,115,274,31,18,221,236
35,BOSQUE,35,0003,350003,1056,1728,1201,527,30,106,375,459,1337,971,366,22,73,254,319
41,BRAZOS,41,0031,410031,1222,6241,3443,2798,482,951,1236,2128,4788,2828,1960,369,603,864,1438
453,TRAVIS,453,0340,4530340,8882,4692,3254,1438,434,150,745,875,3532,2513,1019,319,95,526,611
477,WASHINGTON,477,0307,4770307,9214,2876,1538,1338,149,589,595,1158,2199,1291,908,115,382,395,768
489,WILLACY,489,007A,489007A,9380,1537,108,1429,4,21,1412,1428,1089,96,993,3,17,978,992
201,HARRIS,201,0420,2010420,4637,7589,4823,2766,159,176,2249,2388,5641,3805,1836,108,117,1441,1542
201,HARRIS,201,1083,2011083,5301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,HIDALGO,215,0247,2150247,5799,346,13,333,1,0,332,332,253,12,241,0,0,240,240
421,SHERMAN,421,0302,4210302,7720,370,246,124,4,7,113,117,282,199,83,1,5,77,80
439,TARRANT,439,2645,4392645,8218,3121,1900,1221,238,524,394,895,2178,1403,775,158,328,241,561
453,TRAVIS,453,0112,4530112,8716,2840,1003,1837,116,771,922,1657,2322,855,1467,99,652,672,1305
85,COLLIN,85,0091,850091,1720,3818,2195,1623,503,440,599,996,2963,1798,1165,380,292,434,699
157,FORT BEND,157,1165,1571165,3641,3851,2428,1423,283,480,603,1061,2734,1796,938,194,304,390,682
189,HALE,189,0102,1890102,4139,295,59,236,5,21,207,224,204,52,152,4,12,128,140
201,HARRIS,201,0917,2010917,5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,HARRIS,201,0586,2010586,4803,6267,1878,4389,172,1500,2653,4091,4547,1588,2959,128,995,1758,2727
201,HARRIS,201,0088,2010088,4305,3719,2276,1443,60,319,952,1243,2892,1876,1016,39,217,653,858
9,ARCHER,9,0009,90009,83,191,181,10,0,0,6,6,174,167,7,0,0,3,3
29,BEXAR,29,2003,292003,415,4510,164,4346,14,70,4265,4311,3408,119,3289,9,47,3236,3271
29,BEXAR,29,2168,292168,581,2783,940,1843,134,264,1453,1683,2211,821,1390,112,191,1081,1254
37,BOWIE,37,0020,370020,1079,407,285,122,9,84,22,106,324,224,100,9,69,15,84
73,CHEROKEE,73,0025,730025,1577,1827,1450,377,16,199,122,317,1329,1059,270,9,153,76,227
113,DALLAS,113,4152,1134152,2788,11,0,11,4,1,7,7,2,0,2,0,1,2,2
453,TRAVIS,453,0140,4530140,8739,856,178,678,53,153,482,618,604,151,453,43,100,313,406
463,UVALDE,463,0003,4630003,9071,550,460,90,2,3,73,75,463,398,65,0,1,52,53
479,WEBB,479,0176A,4790176A,9237,3780,100,3680,3,18,3656,3660,2228,57,2171,3,11,2158,2161
157,FORT BEND,157,4150,1574150,3784,13209,2368,10841,3235,4833,2909,7559,9358,1844,7514,2365,3183,1986,5083
201,HARRIS,201,0563,2010563,4780,5003,3333,1670,224,493,839,1296,4047,2806,1241,168,369,608,958
201,HARRIS,201,0065,2010065,4282,5238,205,5033,29,99,4926,5002,3957,172,3785,23,65,3706,3764
201,HARRIS,201,0728,2010728,4946,1988,763,1225,72,183,947,1111,1466,652,814,59,116,610,717
439,TARRANT,439,4632,4394632,8573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,TARRANT,439,2744,4392744,8241,898,247,651,71,147,411,551,702,233,469,54,118,271,387
113,DALLAS,113,2035,1132035,2241,3499,2136,1363,437,345,510,833,3262,2046,1216,396,299,446,733
113,DALLAS,113,1102,1131102,2075,6127,372,5755,23,478,5248,5710,4109,331,3778,13,355,3400,3749
113,DALLAS,113,3210,1133210,2573,3768,963,2805,116,1159,1507,2629,2863,836,2027,91,835,1060,1877
113,DALLAS,113,3618,1133618,2622,801,42,759,19,578,154,716,606,38,568,16,443,99,531
121,DENTON,121,4195,1214195,3120,685,555,130,35,25,57,78,524,439,85,24,19,33,48
139,ELLIS,139,1032,1391032,3286,4774,3596,1178,50,207,759,948,3554,2735,819,35,158,501,648
61,CAMERON,61,0022,610022,1434,4450,186,4264,9,19,4237,4243,3221,149,3072,8,12,3060,3064
113,DALLAS,113,1137,1131137,2098,57,7,50,0,0,49,49,33,7,26,0,0,25,25
113,DALLAS,113,2079,1132079,2267,5562,1193,4369,518,1963,1814,3726,4472,1118,3354,449,1478,1350,2796
113,DALLAS,113,2903,1132903,2430,4257,2504,1753,466,575,629,1170,4040,2426,1614,434,507,575,1063
121,DENTON,121,1007,1211007,2931,1803,1377,426,24,33,280,313,1471,1174,297,9,29,186,215
121,DENTON,121,4169,1214169,3094,3961,2490,1471,335,322,741,1039,3497,2237,1260,304,262,607,859
355,NUECES,355,0058,3550058,7173,1512,778,734,41,25,639,660,1270,692,578,27,19,501,520
387,RED RIVER,387,02-4,38702-4,7508,540,475,65,1,36,19,52,458,414,44,1,23,15,35
437,SWISHER,437,0009,4370009,7840,40,38,2,1,0,1,1,32,31,1,1,0,0,0
439,TARRANT,439,4312,4394312,8504,237,85,152,0,12,132,144,190,74,116,0,10,100,110
465,VAL VERDE,465,0024,4650024,9094,3120,223,2897,19,19,2862,2872,2164,197,1967,11,9,1945,1951
139,ELLIS,139,1009,1391009,3263,5427,3192,2235,46,176,1865,2017,3939,2487,1452,32,106,1188,1287
167,GALVESTON,167,2301,1672301,3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,HAYS,209,0450B,2090450B,5513,674,531,143,16,7,89,94,506,422,84,8,2,51,52
251,JOHNSON,251,0018,2510018,6177,7429,4857,2572,83,377,1766,2111,5691,3974,1717,52,248,1142,1377
299,LLANO,299,0204,2990204,6509,1019,893,126,10,10,70,79,930,839,91,10,5,46,51
329,MIDLAND,329,0405,3290405,6844,4673,2533,2140,350,346,1361,1670,3505,2035,1470,213,236,957,1171
27,BELL,27,0116,270116,203,3016,668,2348,185,1385,800,2054,2166,563,1603,131,915,540,1382
29,BEXAR,29,4056,294056,867,5546,2040,3506,278,885,2339,3103,4368,1776,2592,195,641,1695,2266
41,BRAZOS,41,0057,410057,1248,919,154,765,23,312,423,726,637,137,500,19,206,268,469
85,COLLIN,85,0160,850160,1789,490,404,86,5,8,61,68,363,310,53,3,1,39,39
91,COMAL,91,0206,910206,1912,5097,3260,1837,137,204,1373,1540,3672,2441,1231,78,135,925,1042
113,DALLAS,113,3016,1133016,2453,2856,1077,1779,102,1023,610,1599,2490,1018,1472,86,832,500,1306
497,WISE,497,0007,4970007,9572,3897,2990,907,64,81,636,702,2981,2351,630,38,35,451,479
201,HARRIS,201,0277,2010277,4494,6433,688,5745,39,234,5485,5676,4468,590,3878,25,173,3673,3824
249,JIM WELLS,249,0017,2490017,6154,2059,242,1817,1,11,1795,1800,1572,207,1365,1,8,1350,1355
331,MILAM,331,0420,3310420,6867,3026,2260,766,20,93,548,634,2365,1829,536,16,75,356,431
355,NUECES,355,0084,3550084,7199,1281,299,982,19,45,909,951,1000,272,728,15,31,673,701
439,TARRANT,439,1062,4391062,7863,24,18,6,1,0,5,5,20,18,2,0,0,2,2
453,TRAVIS,453,0307,4530307,8859,4596,3338,1258,268,168,708,842,3737,2812,925,185,121,524,619
115,DAWSON,115,0005,1150005,2908,255,149,106,1,1,99,100,179,106,73,0,1,67,68
141,EL PASO,141,0136,1410136,3449,3626,108,3518,20,25,3479,3491,2695,93,2602,13,18,2577,2589
147,FANNIN,147,0003,1470003,3572,940,604,336,5,222,51,270,749,498,251,3,163,40,202
187,GUADALUPE,187,0229,1870229,4113,209,84,125,0,13,112,124,191,84,107,0,11,96,106
189,HALE,189,0406,1890406,4162,1872,259,1613,14,165,1439,1573,1228,194,1034,5,114,902,1004
201,HARRIS,201,0940,2010940,5158,50,0,50,0,15,33,48,39,0,39,0,15,23,38
29,BEXAR,29,4082,294082,893,4418,330,4088,116,2031,2105,3968,2908,260,2648,91,1298,1309,2555
55,CALDWELL,55,0402,550402,1391,2368,505,1863,36,184,1635,1801,1758,430,1328,26,143,1142,1281
71,CHAMBERS,71,0006,710006,1557,2620,1486,1134,41,396,648,1036,1975,1200,775,26,288,417,702
113,DALLAS,113,1082,1131082,2055,1039,79,960,4,29,923,951,732,71,661,1,25,629,654
139,ELLIS,139,1052,1391052,3306,3718,1255,2463,30,1468,911,2346,2734,1004,1730,15,1041,607,1641
161,FREESTONE,161,0004B,1610004B,3804,57,38,19,1,6,11,17,34,27,7,0,3,3,6
369,PARMER,369,0303,3690303,7385,113,52,61,0,0,60,60,85,43,42,0,0,41,41
439,TARRANT,439,1098,4391098,7883,4597,121,4476,14,1188,3300,4444,3109,106,3003,6,915,2083,2981
439,TARRANT,439,1701,4391701,8049,2077,970,1107,335,334,379,695,1502,713,789,255,239,243,472
439,TARRANT,439,4528,4394528,8547,6015,3202,2813,761,556,1335,1854,4440,2512,1928,576,371,850,1198
493,WILSON,493,0102,4930102,9549,3277,759,2518,41,68,2372,2431,2379,593,1786,28,47,1687,1728
177,GONZALES,177,0007,1770007,3970,736,449,287,2,57,216,266,560,377,183,2,40,129,166
201,HARRIS,201,0251,2010251,4468,5216,517,4699,36,2395,2248,4606,3635,376,3259,25,1867,1349,3194
209,HAYS,209,0319,2090319,5470,2459,1373,1086,51,93,929,1004,1737,1013,724,30,53,623,672
231,HUNT,231,0430,2310430,5968,1317,750,567,15,107,390,492,940,592,348,13,70,231,296
247,JIM HOGG,247,0002,2470002,6134,1167,124,1043,6,1,997,997,869,103,766,6,1,734,734
307,MCCULLOCH,307,0403,3070403,6632,158,147,11,0,2,2,3,150,141,9,0,1,1,1
5,ANGELINA,5,0008,50008,34,1703,1429,274,29,72,139,200,1257,1103,154,19,35,68,99
5,ANGELINA,5,0013,50013,40,1258,514,744,25,348,358,686,885,407,478,7,217,228,443
67,CASS,67,0012,670012,1534,1310,940,370,10,275,34,309,1052,761,291,4,221,24,245
113,DALLAS,113,1050,1131050,2032,250,189,61,18,10,33,43,162,136,26,5,3,17,20
121,DENTON,121,9304,1219304,3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,EL PASO,141,0016,1410016,3329,5256,675,4581,111,122,4361,4443,4137,591,3546,90,78,3381,3435
451,TOM GREEN,451,0401,4510401,8696,293,131,162,8,52,109,145,218,119,99,6,21,65,85
245,JEFFERSON,245,0006,2450006,6034,2518,516,2002,41,1224,749,1947,1892,462,1430,26,876,514,1383
303,LUBBOCK,303,0017,3030017,6532,6548,2155,4393,73,730,3533,4148,4975,1895,3080,58,485,2451,2887
381,RANDALL,381,0420,3810420,7485,5155,3718,1437,62,210,1022,1193,3860,2977,883,40,115,610,712
439,TARRANT,439,1623,4391623,8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,TARRANT,439,1610,4391610,8026,74,34,40,4,10,26,36,47,23,24,4,10,10,20
439,TARRANT,439,2553,4392553,8198,2809,723,2086,185,724,1155,1840,2089,610,1479,161,502,783,1268
163,FRIO,163,0006,1630006,3827,860,376,484,2,31,443,469,670,328,342,1,23,315,333
201,HARRIS,201,1109,2011109,5327,89,64,25,5,14,10,23,89,64,25,5,14,10,23
201,HARRIS,201,1103,2011103,5321,3278,979,2299,277,510,1489,1946,2499,821,1678,216,362,1053,1400
